"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Thu Jul 07 10:12:57 CST 2022","Thu Jul 07 10:19:58 CST 2022","421215","","comparison_test","TestComparison","","","token price comparison with CMC",""
"passed","Thu Jul 07 12:02:58 CST 2022","Thu Jul 07 12:07:35 CST 2022","276942","","comparison_test","TestComparison","","","token price comparison with CMC",""
"passed","Thu Jul 07 13:21:30 CST 2022","Thu Jul 07 13:26:00 CST 2022","270017","","comparison_test","TestComparison","","","token price comparison with CMC",""
"passed","Thu Jul 07 13:12:14 CST 2022","Thu Jul 07 13:16:52 CST 2022","278858","","comparison_test","TestComparison","","","token price comparison with CMC",""
"passed","Thu Jul 07 13:49:06 CST 2022","Thu Jul 07 13:53:47 CST 2022","281067","","comparison_test","TestComparison","","","token price comparison with CMC",""
"passed","Thu Jul 07 12:12:08 CST 2022","Thu Jul 07 12:16:43 CST 2022","275701","","comparison_test","TestComparison","","","token price comparison with CMC",""
"broken","Thu Jul 07 10:37:09 CST 2022","Thu Jul 07 10:45:20 CST 2022","490756","","comparison_test","TestComparison","","","token price comparison with CMC",""
"passed","Thu Jul 07 12:53:46 CST 2022","Thu Jul 07 12:58:26 CST 2022","279981","","comparison_test","TestComparison","","","token price comparison with CMC",""
"passed","Thu Jul 07 13:16:52 CST 2022","Thu Jul 07 13:21:30 CST 2022","277766","","comparison_test","TestComparison","","","token price comparison with CMC",""
"passed","Thu Jul 07 12:07:35 CST 2022","Thu Jul 07 12:12:08 CST 2022","272650","","comparison_test","TestComparison","","","token price comparison with CMC",""
"passed","Thu Jul 07 11:53:39 CST 2022","Thu Jul 07 11:58:24 CST 2022","285318","","comparison_test","TestComparison","","","token price comparison with CMC",""
"passed","Thu Jul 07 12:16:43 CST 2022","Thu Jul 07 12:21:25 CST 2022","281583","","comparison_test","TestComparison","","","token price comparison with CMC",""
"passed","Thu Jul 07 11:44:32 CST 2022","Thu Jul 07 11:49:08 CST 2022","275363","","comparison_test","TestComparison","","","token price comparison with CMC",""
"passed","Thu Jul 07 13:03:00 CST 2022","Thu Jul 07 13:07:33 CST 2022","272992","","comparison_test","TestComparison","","","token price comparison with CMC",""
"passed","Thu Jul 07 12:44:28 CST 2022","Thu Jul 07 12:49:06 CST 2022","277294","","comparison_test","TestComparison","","","token price comparison with CMC",""
"passed","Thu Jul 07 13:35:03 CST 2022","Thu Jul 07 13:39:45 CST 2022","282020","","comparison_test","TestComparison","","","token price comparison with CMC",""
"broken","Thu Jul 07 10:34:49 CST 2022","Thu Jul 07 10:37:09 CST 2022","140071","","comparison_test","TestComparison","","","token price comparison with CMC",""
"passed","Thu Jul 07 12:39:49 CST 2022","Thu Jul 07 12:44:28 CST 2022","279066","","comparison_test","TestComparison","","","token price comparison with CMC",""
"passed","Thu Jul 07 13:53:47 CST 2022","Thu Jul 07 13:58:46 CST 2022","298915","","comparison_test","TestComparison","","","token price comparison with CMC",""
"passed","Thu Jul 07 10:54:34 CST 2022","Thu Jul 07 10:59:11 CST 2022","277036","","comparison_test","TestComparison","","","token price comparison with CMC",""
"passed","Thu Jul 07 12:35:16 CST 2022","Thu Jul 07 12:39:49 CST 2022","273532","","comparison_test","TestComparison","","","token price comparison with CMC",""
"broken","Thu Jul 07 10:19:58 CST 2022","Thu Jul 07 10:30:00 CST 2022","601741","","comparison_test","TestComparison","","","token price comparison with CMC",""
"passed","Thu Jul 07 13:39:45 CST 2022","Thu Jul 07 13:44:28 CST 2022","282882","","comparison_test","TestComparison","","","token price comparison with CMC",""
"passed","Thu Jul 07 13:58:46 CST 2022","Thu Jul 07 14:03:27 CST 2022","281284","","comparison_test","TestComparison","","","token price comparison with CMC",""
"passed","Thu Jul 07 13:07:33 CST 2022","Thu Jul 07 13:12:14 CST 2022","280154","","comparison_test","TestComparison","","","token price comparison with CMC",""
"passed","Thu Jul 07 10:49:59 CST 2022","Thu Jul 07 10:54:34 CST 2022","275062","","comparison_test","TestComparison","","","token price comparison with CMC",""
"passed","Thu Jul 07 12:49:06 CST 2022","Thu Jul 07 12:53:46 CST 2022","280517","","comparison_test","TestComparison","","","token price comparison with CMC",""
"passed","Thu Jul 07 11:58:24 CST 2022","Thu Jul 07 12:02:58 CST 2022","273993","","comparison_test","TestComparison","","","token price comparison with CMC",""
"passed","Thu Jul 07 13:44:28 CST 2022","Thu Jul 07 13:49:06 CST 2022","278445","","comparison_test","TestComparison","","","token price comparison with CMC",""
"passed","Thu Jul 07 12:21:25 CST 2022","Thu Jul 07 12:26:02 CST 2022","277662","","comparison_test","TestComparison","","","token price comparison with CMC",""
"broken","Thu Jul 07 10:30:00 CST 2022","Thu Jul 07 10:34:49 CST 2022","288812","","comparison_test","TestComparison","","","token price comparison with CMC",""
"passed","Thu Jul 07 12:30:43 CST 2022","Thu Jul 07 12:35:16 CST 2022","272584","","comparison_test","TestComparison","","","token price comparison with CMC",""
"passed","Thu Jul 07 13:26:00 CST 2022","Thu Jul 07 13:30:34 CST 2022","273401","","comparison_test","TestComparison","","","token price comparison with CMC",""
